AK97,BSW,Boswell Bay Airport,Boswell Bay,Alaska,US,230.0,60.4230641666667,-146.145909444444,America/Anchorage,AK97
ANYN,INU,Nauru International Airport,Yaren District,Yaren,NR,22.0,-0.547458,166.919006,Pacific/Nauru,
AYAI,ATP,Aitape Airport,Aitape,Sandaun,PG,10.0,-3.1436111111,142.346805556,Pacific/Port_Moresby,
AYAM,AMU,Amanab Airport,Amanab,Sandaun,PG,1307.0,-3.586,141.214333333,Pacific/Port_Moresby,
AYAN,ADC,Andakombe Airport,Andekombe,Gulf,PG,3600.0,-7.1372222222,145.744722222,Pacific/Port_Moresby,
AYAO,AIE,Aiome Airport,Aiome,Madang,PG,350.0,-5.145699978,144.7307003,Pacific/Port_Moresby,
AYAQ,KPM,Kompiam Airport,,Enga,PG,5100.0,-5.3816666667,143.924722222,Pacific/Port_Moresby,
AYAT,AUJ,Ambunti Airport,Ambunti,East Sepik,PG,50.0,-4.2156666667,142.823166667,Pacific/Port_Moresby,
AYAW,AWB,Awaba Airport,Awaba,Western Province,PG,32.0,-8.0061101914,142.748352051,Pacific/Port_Moresby,
AYAY,AYU,Aiyura Airport,Aiyura Valley,Eastern Highlands,PG,5355.0,-6.3380555556,145.904166667,Pacific/Port_Moresby,
AYBA,VMU,Baimuru Airport,Baimuru,Gulf,PG,27.0,-7.4968600273,144.819900513,Pacific/Port_Moresby,
AYBG,BDZ,Baindoung Airport,,Morobe,PG,4400.0,-6.3472222222,146.942222222,Pacific/Port_Moresby,
AYBK,BUA,Buka Airport,Buka Island,Bougainville,PG,11.0,-5.4223198891,154.6730041504,Pacific/Port_Moresby,
AYBM,OPU,Balimo Airport,Balimo,Western Province,PG,51.0,-8.0500001907,142.932998657,Pacific/Port_Moresby,
AYBU,BUL,Bulolo Airport,Bulolo,Morobe,PG,2240.0,-7.2162866714,146.649541855,Pacific/Port_Moresby,
AYCH,CMU,Chimbu Airport,Kundiawa,Chimbu,PG,4974.0,-6.0242900848,144.970993042,Pacific/Port_Moresby,
AYDE,DER,Derim Airport,Derim,Morobe,PG,4850.0,-6.1447222222,147.107222222,Pacific/Port_Moresby,
AYDU,DAU,Daru Airport,Daru,Western Province,PG,20.0,-9.0867595673,143.207992554,Pacific/Port_Moresby,
AYED,XYR,Edwaki Airport,Yellow River Mission,Sandaun,PG,190.0,-3.883986,141.792234,Pacific/Port_Moresby,
AYFA,FNE,Fane Airport,Fane Mission,Central Province,PG,4500.0,-8.5492777778,147.085833333,Pacific/Port_Moresby,
AYFI,FIN,Finschhafen Airport,Buki,Morobe,PG,60.0,-6.621750109,147.85405,Pacific/Port_Moresby,
AYFR,FAQ,Frieda River Airport,Frieda River,East Sepik,PG,217.0,-4.610468,141.960138,Pacific/Port_Moresby,
AYGA,GKA,Goroka Airport,Goronka,Eastern Highlands,PG,5282.0,-6.0816898346,145.391998291,Pacific/Port_Moresby,
AYGG,GRL,Garasa Airport,Au,Morobe,PG,2539.0,-7.980713,147.213461,Pacific/Port_Moresby,
AYGI,GAR,Garaina Airport,Garaina,Morobe,PG,2497.0,-7.8756250275,147.141265869,Pacific/Port_Moresby,
AYGN,GUR,Gurney Airport,Gurney,Milne Bay,PG,88.0,-10.3114995956,150.333999634,Pacific/Port_Moresby,
AYGP,GAP,Gusap Airport,Gusap,Morobe,PG,1504.0,-6.053196,145.959047,Pacific/Port_Moresby,
AYGR,PNP,Girua Airport,Popondetta,Northern Province,PG,311.0,-8.8045396805,148.309005737,Pacific/Port_Moresby,
AYGT,GMI,Gasmata Island Airport,Gasmata Island,West New Britain,PG,23.0,-6.2711100578,150.330993652,Pacific/Port_Moresby,
AYGV,GVI,Green River Airport,Green River,Sandaun,PG,281.0,-3.9022428989,141.170516968,Pacific/Port_Moresby,
AYHK,HKN,Kimbe Airport,Hoskins,West New Britain,PG,66.0,-5.4621701241,150.4049987793,Pacific/Port_Moresby,
AYIQ,KIE,Aropa Airport,Kieta,Bougainville Island,PG,10.0,-6.305,155.727778,Pacific/Bougainville,
AYKA,LSA,Losuia Airport,Losuia,Milne Bay,PG,27.0,-8.5058202744,151.0809936523,Pacific/Port_Moresby,
AYKB,KBM,Kabwum,,Morobe,PG,4450.0,-6.1554722222,147.191472222,Pacific/Port_Moresby,
AYKC,KDR,Kandrian Airport,Kandrian,West New Britain,PG,280.0,-6.2659,149.5581,Pacific/Port_Moresby,
AYKI,UNG,Kiunga Airport,Kiunga,Western Province,PG,88.0,-6.1257100105,141.2819976807,Pacific/Port_Moresby,
AYKK,KRI,Kikori Airport,Kikori,Gulf,PG,50.0,-7.4243798256,144.2500762939,Pacific/Port_Moresby,
AYKM,KMA,Kerema Airport,Kerema,Gulf,PG,10.0,-7.9636101723,145.770996094,Pacific/Port_Moresby,
AYKO,KKD,Kokoda Airport,Kokoda,Northern Province,PG,1240.0,-8.8846788406,147.730957031,Pacific/Port_Moresby,
AYKT,KZF,Kaintiba Airport,Kaintiba,Gulf,PG,2050.0,-7.50025,146.033833333,Pacific/Port_Moresby,
AYKU,KUQ,Kuri Airport,Kuri,Gulf,PG,35.0,-7.135083,143.276111,Pacific/Port_Moresby,
AYKV,KVG,Kavieng Airport,Kavieng,New Ireland,PG,7.0,-2.5794000626,150.807998657,Pacific/Port_Moresby,
AYKW,KWO,Kawito Airport,Kawito,Western Province,PG,72.0,-7.9770069122,142.823577881,Pacific/Port_Moresby,
AYKY,LNV,Londolovit Airport,Londolovit,New Ireland,PG,167.0,-3.043610096,152.628997803,Pacific/Port_Moresby,
AYLM,LMY,Lake Murray Airport,Lake Murray,Western Province,PG,52.0,-7.0099201202,141.494003296,Pacific/Port_Moresby,
AYLO,LWI,Lowai Airstrip,Lowai,Morobe Province,PG,2900.0,-6.3344,146.6458,Pacific/Port_Moresby,
AYLU,LMI,Lumi Airport,Lumi,Sandaun,PG,1750.0,-3.4768395113,142.041292191,Pacific/Port_Moresby,
AYMC,MYX,Menyamya Airport,Menyamya,Morobe,PG,3880.0,-7.2116666667,146.019361111,Pacific/Port_Moresby,
AYMD,MAG,Madang Airport,Madang,Madang,PG,20.0,-5.2070798874,145.789001465,Pacific/Port_Moresby,
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Western Highlands,PG,5388.0,-5.826789856,144.296005249,Pacific/Port_Moresby,
AYMI,MXK,Mindik Airport,Mindik,Morobe,PG,4200.0,-6.4716666667,147.441138889,Pacific/Port_Moresby,
AYML,GUV,Mougulu Airport,Mougulu,Western Province,PG,825.0,-6.280859,142.420775,Pacific/Port_Moresby,
AYMN,MDU,Mendi Airport,,Southern Highlands,PG,5680.0,-6.1477398872,143.6569976807,Pacific/Port_Moresby,
AYMO,MAS,Momote Airport,,Manus,PG,12.0,-2.0618898869,147.4239959717,Pacific/Port_Moresby,
AYMR,MXH,Moro Airport,Moro,Southern Highlands,PG,2740.0,-6.3633298874,143.238006592,Pacific/Port_Moresby,
AYMS,MIS,Misima Island Airport,Misima Island,Milne Bay,PG,26.0,-10.6892004013,152.837997437,Pacific/Port_Moresby,
AYNE,GBF,Negarbo(Negabo) Airport,Negarbo,Chimbu,PG,4500.0,-6.567778,144.703058,Pacific/Port_Moresby,
AYNG,MFO,Manguna Airport,Manguna,East New Britain,PG,187.0,-5.577778,151.792333,Pacific/Port_Moresby,
AYNU,UKU,Nuku Airport,Nuku,Sandaun,PG,870.0,-3.676651,142.484334,Pacific/Port_Moresby,
AYNZ,LAE,Lae Nadzab Airport,Nadzab,Morobe,PG,239.0,-6.5698299408,146.725997925,Pacific/Port_Moresby,
AYOG,OGE,Ogeranang Airport,,Morobe,PG,5850.0,-6.46675,147.364166667,Pacific/Port_Moresby,
AYOM,OSE,Omora Airport,Omora,Morobe,PG,2540.0,-7.8277777778,147.080638889,Pacific/Port_Moresby,
AYPD,PDI,Pindiu Airport,Pindiu,Morobe,PG,2995.0,-6.4451388889,147.515833333,Pacific/Port_Moresby,
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,National Capital,PG,146.0,-9.4433803558,147.2200012207,Pacific/Port_Moresby,
AYQA,KRJ,Karawari Airstrip,,East Sepik,PG,70.0,-4.5966666667,143.5225,Pacific/Port_Moresby,
AYRG,RMN,Rumginae Airport,,Western Province,PG,160.0,-5.8972222222,141.271666667,Pacific/Port_Moresby,
AYRI,KMR,Karimui Airport,Karimui,Chimbu,PG,3640.0,-6.4921,144.823,Pacific/Port_Moresby,
AYSA,SBE,Suabi Airport,,Western Province,PG,465.0,-6.1044444444,142.278333333,Pacific/Port_Moresby,
AYSE,NIS,Simberi Airport,Simberi Island,New Ireland,PG,10.0,-2.6622222222,151.997777778,Pacific/Port_Moresby,
AYSG,SIL,Sila Airport,Sila Mission,Northern Province,PG,2230.0,-9.0735555556,148.38925,Pacific/Port_Moresby,
AYSJ,SIM,Simbai Airport,Simbai,Western Highlands,PG,5804.0,-5.2786111111,144.544722222,Pacific/Port_Moresby,
AYSU,SKC,Suki Airport,Suki,Western Province,PG,24.0,-8.0466,141.7222,Pacific/Port_Moresby,
AYTA,TIZ,Tari Airport,Tari,Southern Highlands,PG,5500.0,-5.8449997902,142.947998047,Pacific/Port_Moresby,
AYTB,TBG,Tabubil Airport,Tabubil,Western Province,PG,1570.0,-5.2786102295,141.2259979248,Pacific/Port_Moresby,
AYTE,TFM,Telefomin Airport,Telefomin,Western Province,PG,4950.0,-5.1260804642,141.641921997,Pacific/Port_Moresby,
AYTI,TPI,Tapini Airport,Tapini,Central Province,PG,3100.0,-8.3566666667,146.989166667,Pacific/Port_Moresby,
AYTJ,TAJ,Tadji Airport,Aitape,Sandaun,PG,33.0,-3.1981918035,142.430963516,Pacific/Port_Moresby,
AYTK,RAB,Tokua Airport,Tokua,East New Britain,PG,32.0,-4.3404598236,152.380004883,Pacific/Port_Moresby,
AYTN,TKW,Tekin Airport,Tekin,Sandaun,PG,5785.0,-5.2436666667,142.165194444,Pacific/Port_Moresby,
AYTU,TFI,Tufi Airport,Tufi,Northern Province,PG,85.0,-9.0759544373,149.319839478,Pacific/Port_Moresby,
AYVN,VAI,Vanimo Airport,,Sandaun,PG,10.0,-2.6971700191,141.3020019531,Pacific/Port_Moresby,
AYWB,WAO,Wabo Airport,Wabo,Gulf,PG,132.0,-6.9894444444,145.075111111,Pacific/Port_Moresby,
AYWD,WBM,Wapenamanda Airport,,Enga,PG,5889.0,-5.6433000565,143.8950042725,Pacific/Port_Moresby,
AYWG,AGL,Wanigela Airport,,Northern Province,PG,53.0,-9.3375,149.155555556,Pacific/Port_Moresby,
AYWK,WWK,Wewak International Airport,Wewak,East Sepik,PG,19.0,-3.5838301182,143.669006348,Pacific/Port_Moresby,
AYWO,WOA,Wonenara Airport,Wonenara,Eastern Highlands,PG,5028.0,-6.7968611111,145.891944444,Pacific/Port_Moresby,
AYWS,WSU,Wasu Airport,Wasu,Morobe,PG,34.0,-5.9617094492,147.19822526,Pacific/Port_Moresby,
