Air carrier;Aircraft Type;;Days available;Total hours Flown;
TUI Airways;BOEING 737 800;Passenger;4,386;46,865;10.7
TUI Airways;BOEING 757 200;Passenger;8,148;87,053;10.7
TUI Airways;BOEING 767 300ER;Passenger;4,345;58,333;13.4
TUI Airways;AIRBUS A320;Passenger;1,585;16,616;10.5
TUI Airways;AIRBUS A321;Passenger;730;7,389;10.1
EASYJET UK;BOEING 737 700;Passenger;3,11;28,755;9.2
EASYJET UK;AIRBUS A319;Passenger;50,608;502,589;9.9
EASYJET UK;AIRBUS A320;Passenger;6,304;95,575;15.2
EASYJET UK;AIRBUS A321;Passenger;902;8,668;9.6
TRIAIR (BERMUDA);DASSAULT FALCON7X;Passenger;365;292;0.8
